Propiedad,Year,Month,Total Nights Booked per Property,Avg Lead Time per Property,Total Available Nights,Occupancy Rate (%)
SKY ELITE - 320,2023,12,13.0,3.6666666666666665,31,41.935483870967744
SKY ELITE - 320,2024,1,3.0,3.0,31,9.67741935483871
SKY ELITE - 320,2024,2,9.0,14.5,29,31.03448275862069
SKY ELITE - 320,2024,3,11.0,0.8,31,35.483870967741936
SKY ELITE - 320,2024,4,6.0,21.666666666666668,30,20.0
SKY ELITE - 320,2024,5,28.0,0.5,31,90.32258064516128
SKY ELITE - 320,2024,6,0.0,,30,0.0
SKY ELITE - 320,2024,7,10.0,0.75,31,32.25806451612903
SKY ELITE - 320,2024,8,0.0,,31,0.0
SKY ELITE - 320,2024,9,11.0,0.4,30,36.666666666666664
SKY ELITE - 320,2024,10,0.0,,31,0.0
SKY ELITE - 320,2024,11,0.0,,30,0.0
SKY ELITE - 320,2024,12,13.0,30.0,31,41.935483870967744
SKY ELITE - 320,2025,1,38.0,,31,122.58064516129032
SKY ELITE - 320,2025,2,2.0,,29,6.896551724137931
SKY ELITE - 320,2025,3,3.0,4.0,31,9.67741935483871
SKY ELITE - 524,2023,12,12.0,9.0,31,38.70967741935484
SKY ELITE - 524,2024,1,7.0,2.5,31,22.58064516129032
SKY ELITE - 524,2024,2,5.0,39.0,29,17.24137931034483
SKY ELITE - 524,2024,3,3.0,2.0,31,9.67741935483871
SKY ELITE - 524,2024,4,28.0,0.0,30,93.33333333333333
SKY ELITE - 524,2024,5,28.0,2.0,31,90.32258064516128
SKY ELITE - 524,2024,6,3.0,12.0,30,10.0
SKY ELITE - 524,2024,7,3.0,0.0,31,9.67741935483871
SKY ELITE - 524,2024,8,1.0,0.0,31,3.225806451612903
SKY ELITE - 524,2024,9,1.0,1.0,30,3.3333333333333335
SKY ELITE - 524,2024,10,0.0,,31,0.0
SKY ELITE - 524,2024,11,0.0,,30,0.0
SKY ELITE - 524,2024,12,1.0,1.0,31,3.225806451612903
SKY ELITE - 524,2025,1,6.0,0.0,31,19.35483870967742
SKY ELITE - 524,2025,2,8.0,,29,27.586206896551722
SKY ELITE - 524,2025,3,6.0,2.0,31,19.35483870967742
SKY ELITE - 115,2024,8,2.0,1.0,31,6.451612903225806
SKY ELITE - 115,2024,9,6.0,0.5,30,20.0
