Propiedad,Month,Year,Total Nights Booked per Property,Avg Lead Time per Property,Total Available Nights,Occupancy Rate (%)
HOTEL RADISSON - SENIOR SUITE,1,2024,1,0.0,31,3.225806451612903
HOTEL RADISSON - SENIOR SUITE,2,2024,3,29.0,29,10.344827586206897
HOTEL RADISSON - SENIOR SUITE,7,2024,3,1.0,31,9.67741935483871
HOTEL RADISSON - SENIOR SUITE,8,2024,6,6.5,31,19.35483870967742
MACORORO 12 - 12F,1,2025,16,7.0,31,51.61290322580645
MACORORO 12 - 12F,2,2022,8,1.0,29,27.586206896551722
MACORORO 12 - 12F,2,2024,16,1.3333333333333333,29,55.172413793103445
MACORORO 12 - 12F,3,2022,1,3.0,31,3.225806451612903
MACORORO 12 - 12F,3,2024,6,8.666666666666666,31,19.35483870967742
MACORORO 12 - 12F,4,2024,5,15.0,30,16.666666666666664
MACORORO 12 - 12F,6,2024,13,0.0,30,43.333333333333336
MACORORO 12 - 12F,7,2024,34,0.0,31,109.6774193548387
MACORORO 12 - 12F,8,2024,18,0.0,31,58.06451612903226
MACORORO 12 - 12F,9,2024,10,0.3333333333333333,30,33.33333333333333
MACORORO 12 - 12F,10,2024,14,1.0,31,45.16129032258064
MACORORO 12 - 12F,11,2024,19,0.2,30,63.33333333333333
MACORORO 12 - 12F,12,2024,17,0.0,31,54.83870967741935
MACORORO 15 - 8G,1,2025,10,10.0,31,32.25806451612903
MACORORO 15 - 8G,12,2024,5,9.5,31,16.129032258064516
MACORORO 8,1,2023,2,0.0,31,6.451612903225806
MACORORO 8,2,2023,3,3.0,29,10.344827586206897
MACORORO 8,9,2022,16,2.3333333333333335,30,53.333333333333336
MACORORO 8,10,2022,26,6.333333333333333,31,83.87096774193549
MACORORO 8,11,2022,2,0.5,30,6.666666666666667
MACORORO 8,12,2022,19,3.25,31,61.29032258064516
SKY ELITE - 115,8,2024,2,1.0,31,6.451612903225806
SKY ELITE - 115,9,2024,6,0.5,30,20.0
SKY ELITE - 115,10,2024,1,0.0,31,3.225806451612903
SKY ELITE - 115,11,2024,2,0.0,30,6.666666666666667
SKY ELITE - 132,6,2024,2,0.0,30,6.666666666666667
SKY ELITE - 132,7,2024,9,2.5,31,29.03225806451613
SKY ELITE - 132,8,2024,27,1.0,31,87.09677419354838
SKY ELITE - 132,12,2024,4,12.5,31,12.903225806451612
SKY ELITE - 229,4,2024,6,2.25,30,20.0
SKY ELITE - 229,5,2024,18,9.666666666666666,31,58.06451612903226
SKY ELITE - 229,6,2024,27,3.5,30,90.0
SKY ELITE - 229,7,2024,13,9.8,31,41.935483870967744
SKY ELITE - 229,8,2024,34,6.0,31,109.6774193548387
SKY ELITE - 229,9,2024,22,7.6,30,73.33333333333333
SKY ELITE - 229,10,2024,1,0.0,31,3.225806451612903
SKY ELITE - 229,12,2024,8,10.0,31,25.806451612903224
SKY ELITE - 320,1,2024,3,3.0,31,9.67741935483871
SKY ELITE - 320,2,2024,9,14.5,29,31.03448275862069
SKY ELITE - 320,3,2024,11,0.8,31,35.483870967741936
SKY ELITE - 320,4,2024,6,21.666666666666668,30,20.0
SKY ELITE - 320,5,2024,28,0.5,31,90.32258064516128
SKY ELITE - 320,7,2024,10,0.75,31,32.25806451612903
SKY ELITE - 320,9,2024,11,0.4,30,36.666666666666664
SKY ELITE - 320,12,2023,13,3.6666666666666665,31,41.935483870967744
SKY ELITE - 320,12,2024,13,30.0,31,41.935483870967744
SKY ELITE - 323,1,2024,13,0.5,31,41.935483870967744
SKY ELITE - 323,2,2024,6,25.0,29,20.689655172413794
SKY ELITE - 323,3,2024,5,14.0,31,16.129032258064516
SKY ELITE - 323,5,2024,2,0.0,31,6.451612903225806
SKY ELITE - 323,6,2024,1,7.0,30,3.3333333333333335
SKY ELITE - 323,7,2024,4,3.0,31,12.903225806451612
SKY ELITE - 323,8,2024,1,0.0,31,3.225806451612903
SKY ELITE - 323,9,2024,3,50.0,30,10.0
SKY ELITE - 323,10,2024,3,0.0,31,9.67741935483871
SKY ELITE - 323,12,2023,25,2.3333333333333335,31,80.64516129032258
SKY ELITE - 510,1,2025,10,0.0,31,32.25806451612903
SKY ELITE - 510,12,2024,19,0.6666666666666666,31,61.29032258064516
SKY ELITE - 524,1,2024,7,2.5,31,22.58064516129032
SKY ELITE - 524,2,2024,5,39.0,29,17.24137931034483
SKY ELITE - 524,3,2024,3,2.0,31,9.67741935483871
SKY ELITE - 524,4,2024,28,0.0,30,93.33333333333333
SKY ELITE - 524,5,2024,28,2.0,31,90.32258064516128
SKY ELITE - 524,6,2024,3,12.0,30,10.0
SKY ELITE - 524,7,2024,3,0.0,31,9.67741935483871
SKY ELITE - 524,8,2024,1,0.0,31,3.225806451612903
SKY ELITE - 524,9,2024,1,1.0,30,3.3333333333333335
SKY ELITE - 524,12,2023,12,9.0,31,38.70967741935484
SKY ELITE - 524,12,2024,1,1.0,31,3.225806451612903
TORRES SIRARI - 5A,1,2024,13,0.6666666666666666,31,41.935483870967744
TORRES SIRARI - 5A,2,2024,3,0.0,29,10.344827586206897
TORRES SIRARI - 5A,3,2024,4,0.0,31,12.903225806451612
TORRES SIRARI - 5A,4,2024,1,0.0,30,3.3333333333333335
TORRES SIRARI - 5A,5,2024,1,0.0,31,3.225806451612903
TORRES SIRARI - 5A,9,2024,6,2.0,30,20.0
TORRES SIRARI - 5A,12,2023,3,2.5,31,9.67741935483871
YOU - 316,1,2025,1,0.0,31,3.225806451612903
YOU - 316,9,2024,26,1.0,30,86.66666666666667
YOU - 316,10,2024,4,10.0,31,12.903225806451612
YOU - 316,11,2024,24,1.0,30,80.0
YOU - 316,12,2024,6,0.5,31,19.35483870967742
